敬いもうしあげる 天におわす御主		In high honor, the Master in heaven 
光り輝く御姿で 現れ給う 				Appears, form shining in light 
ぐるりや三つの御印を持って拝み奉る		Round and round, bringing the 3 symbols/signs to offer 
一つや二つ三つを過ぎたれば天の理 		First, second, third and after comes the law of heaven 
我等父母の咎に罰を 加え給う事無し	Pardoned of our forebears' sin 
御主の おいでます 楽園へお連れ給う	Onto paradise, where the Master resides?

素晴らしく　熱い涙を					Subarashiku atsui namida wo									The wonderful hot tears
人は心に　溜めている				Hito wa kokoro ni tamete iru								They collect in people's hearts
君が行く　道をさえぎる				Kimi ga yuku michi wo saegiru								As you set off the road is obstructed
重くむなしい　戦さ続こうと				Omoku munashii ikusa tsuzukou to							By the massive futile war that never ends
夢を殺すな　夢を追うんだ				Yume wo korosu na yume wo ounda								Don't let your dreams die; follow your dreams
はるか銀河の　輝きを					Haruka ginga no kagayaki wo									Far away the Milky Way's brilliance
映す涙で　ほほをぬらして　歓べる日を	Utsusu namida de hoho wo nurashite yorokoberu hi wo			Reflects in tears, wetting your cheeks, till the day we can rejoice
光の橋をこえて　心を裸にして			Hikari no hashi wo koete kokoro wo hadaka ni shite			Crossing the bridge of light, laying bare your heart
光の橋をこえて　涙と愛を解き放して		Hikari no hashi wo koete namida to ai wo toki hanashite		Crossing the bridge of light, set free your tears and love

素晴らしく　大きな愛を				Subarashiku ooki na ai wo									The wonderful abundant love
人は心に　抱いてる					Hito wa kokoro ni daiteru									It embraces people's hearts
君が行く　道は宇宙の				Kimi ga yuku michi wa uchuu no								As you go on the cosmic road
無限の闇に　遠く続こうと				Mugen no yami ni tooku tsuzukou to							Its infinite darkness is distant and never-ending
夢を殺すな　夢を追うんだ				Yume wo korosu na yume wo ounda								Don't let your dreams die; follow your dreams
いつか銀河の　輝きに				Itsuka ginga no kagayaki ni									One day amidst the Milky Way's radiance						
負けない愛で　ちりばめられる　歓びの日を	Makenai ai de chiribamerareru yorokobi no hi wo				Love will prevail, to decorate our joyous days
光の橋をこえて　心を裸にして			Hikari no hashi wo koete kokoro wo hadaka ni shite			Crossing the bridge of light, laying bare your heart
光の橋をこえて　涙と愛を解き放して		Hikari no hashi wo koete namida to ai wo toki hanashite		Crossing the bridge of light, set free your tears and love
光の橋をこえて　心を裸にして			Hikari no hashi wo koete kokoro wo hadaka ni shite			Crossing the bridge of light, laying bare your heart
光の橋をこえて　涙と愛を解き放して		Hikari no hashi wo koete namida to ai wo toki hanashite		Crossing the bridge of light, set free your tears and love 





